No,項目,金額（百万円）,ファイル名
1,現金及び現金同等物,136809,7013.csv
2,営業債権及びその他の債権,506718,7013.csv
3,契約資産,113959,7013.csv
4,その他の金融資産,3989,7013.csv
5,棚卸資産,444066,7013.csv
6,その他の流動資産,73296,7013.csv
7,小計,1278837,7013.csv
8,売却目的保有に分類された処分グループに係る資産,23426,7013.csv
9,流動資産合計,1302263,7013.csv
10,有形固定資産,241970,7013.csv
11,使用権資産,102766,7013.csv
12,のれん,6276,7013.csv
13,無形資産,132056,7013.csv
14,投資不動産,143838,7013.csv
15,持分法で会計処理されている投資,72719,7013.csv
16,その他の金融資産,51509,7013.csv
17,繰延税金資産,119535,7013.csv
18,その他の非流動資産,67460,7013.csv
19,非流動資産合計,938129,7013.csv
20,資産合計,2240392,7013.csv
21,営業債務及びその他の債務,287201,7013.csv
22,社債及び借入金,126125,7013.csv
23,リース負債,17386,7013.csv
24,その他の金融負債,15226,7013.csv
25,未払法人所得税,39690,7013.csv
26,契約負債,252968,7013.csv
27,引当金,26049,7013.csv
28,返金負債,153002,7013.csv
29,その他の流動負債,175192,7013.csv
30,小計,1092839,7013.csv
31,売却目的保有に分類された処分グループに係る負債,25086,7013.csv
32,流動負債合計,1117925,7013.csv
33,社債及び借入金,263271,7013.csv
34,リース負債,107941,7013.csv
35,その他の金融負債,66875,7013.csv
36,繰延税金負債,7747,7013.csv
37,退職給付に係る負債,145616,7013.csv
38,引当金,6728,7013.csv
39,その他の非流動負債,15629,7013.csv
40,非流動負債合計,613807,7013.csv
41,負債合計,1731732,7013.csv
42,資本金,107165,7013.csv
43,資本剰余金,46384,7013.csv
44,利益剰余金,280100,7013.csv
45,自己株式,-8576,7013.csv
46,その他の資本の構成要素,56761,7013.csv
47,売却目的保有に分類された処分グループに係るその他の資本の構成要素,-108,7013.csv
48,親会社の所有者に帰属する持分合計,481726,7013.csv
49,非支配持分,26934,7013.csv
50,資本合計,508660,7013.csv
51,負債及び資本合計,2240392,7013.csv
