項目,金額,年度
企業名,The Chiba Bank,2025
現金預け金,4689382,2024
コールローン及び買入手形,391822,2024
債券貸借取引支払保証金,1950,2024
買入金銭債権,23121,2024
特定取引資産,27426,2024
金銭の信託,10903,2024
有価証券,2906067,2024
貸出金,12721829,2024
外国為替,6084,2024
その他資産,378746,2024
有形固定資産,123612,2024
建物,53031,2024
土地,62184,2024
建設仮勘定,2004,2024
その他の有形固定資産,6392,2024
無形固定資産,14633,2024
ソフトウエア,10668,2024
その他の無形固定資産,3964,2024
退職給付に係る資産,28707,2024
繰延税金資産,3128,2024
支払承諾見返,27565,2024
貸倒引当金,-31087,2024
資産の部合計,21323895,2024
預金,15927766,2024
譲渡性預金,379526,2024
コールマネー及び売渡手形,1499383,2024
売現先勘定,44481,2024
債券貸借取引受入担保金,203429,2024
特定取引負債,21450,2024
借用金,1523260,2024
外国為替,1171,2024
社債,120792,2024
信託勘定借,15564,2024
その他負債,305193,2024
退職給付に係る負債,688,2024
役員退職慰労引当金,192,2024
睡眠預金払戻損失引当金,637,2024
ポイント引当金,790,2024
特別法上の引当金,24,2024
繰延税金負債,60070,2024
再評価に係る繰延税金負債,10401,2024
支払承諾,27565,2024
負債の部合計,20142392,2024
資本金,145069,2024
資本剰余金,122185,2024
利益剰余金,796209,2024
自己株式,-72800,2024
株主資本合計,990662,2024
その他有価証券評価差額金,159893,2024
繰延ヘッジ損益,16279,2024
土地再評価差額金,9929,2024
退職給付に係る調整累計額,4738,2024
その他の包括利益累計額合計,190840,2024
純資産の部合計,1181503,2024
負債及び純資産の部合計,21323895,2024
企業名,The Chiba Bank,2024
経常収益,310742,2024
資金運用収益,198583,2024
貸出金利息,131529,2024
有価証券利息配当金,49166,2024
コールローン利息及び買入手形利息,8859,2024
買現先利息,0,2024
債券貸借取引受入利息,1,2024
預け金利息,4366,2024
その他の受入利息,4659,2024
信託報酬,93,2024
役務取引等収益,63127,2024
特定取引収益,1438,2024
その他業務収益,7239,2024
その他経常収益,40260,2024
償却債権取立益,1576,2024
その他の経常収益,38684,2024
経常費用,220480,2024
資金調達費用,65937,2024
預金利息,20518,2024
譲渡性預金利息,8630,2024
コールマネー利息及び売渡手形利息,393,2024
売現先利息,2331,2024
債券貸借取引支払利息,10304,2024
借用金利息,3035,2024
社債利息,2121,2024
その他の支払利息,18601,2024
役務取引等費用,22262,2024
その他業務費用,6870,2024
営業経費,92225,2024
その他経常費用,33184,2024
貸倒引当金繰入額,231,2024
その他の経常費用,32952,2024
経常利益,90262,2024
特別利益,958,2024
固定資産処分益,958,2024
特別損失,552,2024
固定資産処分損,192,2024
減損損失,359,2024
税金等調整前当期純利益,90668,2024
法人税、住民税及び事業税,28847,2024
法人税等調整額,-619,2024
法人税等合計,28227,2024
当期純利益,62440,2024
親会社株主に帰属する当期純利益,62440,2024
当期純利益,62440,2024
その他の包括利益,89506,2024
その他有価証券評価差額金,75886,2024
繰延ヘッジ損益,5870,2024
退職給付に係る調整額,7649,2024
持分法適用会社に対する持分相当額,99,2024
包括利益,151946,2024
親会社株主に係る包括利益,151946,2024
企業名,The Chiba Bank,2024
税金等調整前当期純利益,90668,2024
減価償却費,9676,2024
減損損失,359,2024
持分法による投資損益（△は益）,-462,2024
貸倒引当金の増減（△）,-1173,2024
退職給付に係る資産の増減額（△は増加）,-10128,2024
退職給付に係る負債の増減額（△は減少）,-3787,2024
役員退職慰労引当金の増減額（△は減少）,32,2024
睡眠預金払戻損失引当金の増減（△）,-273,2024
ポイント引当金の増減額（△は減少）,-47,2024
資金運用収益,-198583,2024
資金調達費用,65937,2024
有価証券関係損益（△）,-5323,2024
金銭の信託の運用損益（△は運用益）,-105,2024
為替差損益（△は益）,-187,2024
固定資産処分損益（△は益）,-765,2024
特定取引資産の純増（△）減,135018,2024
特定取引負債の純増減（△）,2832,2024
貸出金の純増（△）減,-614763,2024
預金の純増減（△）,519574,2024
譲渡性預金の純増減（△）,-116221,2024
借用金（劣後特約付借入金を除く）の純増減（△）,316452,2024
預け金（日銀預け金を除く）の純増（△）減,-3237,2024
コールローン等の純増（△）減,-39241,2024
債券貸借取引支払保証金の純増（△）減,3495,2024
コールマネー等の純増減（△）,715843,2024
債券貸借取引受入担保金の純増減（△）,-133644,2024
外国為替（資産）の純増（△）減,-709,2024
外国為替（負債）の純増減（△）,446,2024
信託勘定借の純増減（△）,2124,2024
資金運用による収入,191626,2024
資金調達による支出,-63914,2024
その他,-51578,2024
小計,809940,2024
法人税等の支払額,-22069,2024
営業活動によるキャッシュ・フロー,787870,2024
有価証券の取得による支出,-968637,2024
有価証券の売却による収入,609227,2024
有価証券の償還による収入,234054,2024
金銭の信託の増加による支出,-6900,2024
金銭の信託の減少による収入,5404,2024
有形固定資産の取得による支出,-4617,2024
有形固定資産の売却による収入,1002,2024
無形固定資産の取得による支出,-5539,2024
投資活動によるキャッシュ・フロー,-136006,2024
配当金の支払額,-21740,2024
自己株式の取得による支出,-10015,2024
自己株式の売却による収入,0,2024
財務活動によるキャッシュ・フロー,-31756,2024
現金及び現金同等物に係る換算差額,187,2024
現金及び現金同等物の増減額（△は減少）,620295,2024
現金及び現金同等物の期首残高,4045159,2024
現金及び現金同等物の期末残高,4665454,2024
企業名,The Chiba Bank,2024
現金預け金,4065850,2023
コールローン及び買入手形,335089,2023
買現先勘定,17999,2023
債券貸借取引支払保証金,5446,2023
買入金銭債権,22612,2023
特定取引資産,162444,2023
金銭の信託,9279,2023
有価証券,2576106,2023
貸出金,12107066,2023
外国為替,5375,2023
その他資産,320687,2023
有形固定資産,124473,2023
建物,55126,2023
土地,62461,2023
建設仮勘定,1027,2023
その他の有形固定資産,5856,2023
無形固定資産,14222,2023
ソフトウエア,11272,2023
その他の無形固定資産,2950,2023
退職給付に係る資産,18578,2023
繰延税金資産,3088,2023
支払承諾見返,31822,2023
貸倒引当金,-32260,2023
資産の部合計,19787882,2023
預金,15408192,2023
譲渡性預金,495748,2023
コールマネー及び売渡手形,810859,2023
売現先勘定,17160,2023
債券貸借取引受入担保金,337074,2023
特定取引負債,18618,2023
借用金,1206808,2023
外国為替,724,2023
社債,110038,2023
信託勘定借,13439,2023
その他負債,237725,2023
退職給付に係る負債,4476,2023
役員退職慰労引当金,160,2023
睡眠預金払戻損失引当金,910,2023
ポイント引当金,838,2023
特別法上の引当金,24,2023
繰延税金負債,21742,2023
再評価に係る繰延税金負債,10402,2023
支払承諾,31822,2023
負債の部合計,18726767,2023
資本金,145069,2023
資本剰余金,122146,2023
利益剰余金,755517,2023
自己株式,-62943,2023
株主資本合計,959789,2023
その他有価証券評価差額金,83907,2023
繰延ヘッジ損益,10408,2023
土地再評価差額金,9921,2023
退職給付に係る調整累計額,-2911,2023
その他の包括利益累計額合計,101326,2023
純資産の部合計,1061115,2023
負債及び純資産の部合計,19787882,2023
企業名,The Chiba Bank,2023
経常収益,278377,2023
資金運用収益,169575,2023
貸出金利息,114046,2023
有価証券利息配当金,44035,2023
コールローン利息及び買入手形利息,5467,2023
買現先利息,0,2023
債券貸借取引受入利息,1,2023
預け金利息,3704,2023
その他の受入利息,2319,2023
信託報酬,122,2023
役務取引等収益,60106,2023
特定取引収益,1995,2023
その他業務収益,7615,2023
その他経常収益,38961,2023
貸倒引当金戻入益,1352,2023
償却債権取立益,3462,2023
その他の経常収益,34146,2023
経常費用,191394,2023
資金調達費用,33056,2023
預金利息,8228,2023
譲渡性預金利息,4713,2023
コールマネー利息及び売渡手形利息,-85,2023
売現先利息,538,2023
債券貸借取引支払利息,3764,2023
借用金利息,1308,2023
社債利息,2027,2023
その他の支払利息,12560,2023
役務取引等費用,19744,2023
その他業務費用,22448,2023
営業経費,88982,2023
その他経常費用,27162,2023
その他の経常費用,27162,2023
経常利益,86983,2023
特別利益,90,2023
固定資産処分益,90,2023
特別損失,403,2023
固定資産処分損,262,2023
減損損失,140,2023
税金等調整前当期純利益,86670,2023
法人税、住民税及び事業税,21611,2023
法人税等調整額,4781,2023
法人税等合計,26393,2023
当期純利益,60276,2023
親会社株主に帰属する当期純利益,60276,2023
当期純利益,60276,2023
その他の包括利益,-29344,2023
その他有価証券評価差額金,-30648,2023
繰延ヘッジ損益,5209,2023
退職給付に係る調整額,-4070,2023
持分法適用会社に対する持分相当額,164,2023
包括利益,30932,2023
親会社株主に係る包括利益,30932,2023
企業名,The Chiba Bank,2023
税金等調整前当期純利益,86670,2023
減価償却費,9439,2023
減損損失,140,2023
持分法による投資損益（△は益）,-341,2023
貸倒引当金の増減（△）,-2985,2023
退職給付に係る資産の増減額（△は増加）,-2002,2023
退職給付に係る負債の増減額（△は減少）,3743,2023
役員退職慰労引当金の増減額（△は減少）,7,2023
睡眠預金払戻損失引当金の増減（△）,-385,2023
ポイント引当金の増減額（△は減少）,91,2023
資金運用収益,-169575,2023
資金調達費用,33056,2023
有価証券関係損益（△）,10961,2023
金銭の信託の運用損益（△は運用益）,-119,2023
為替差損益（△は益）,-71,2023
固定資産処分損益（△は益）,172,2023
特定取引資産の純増（△）減,-23686,2023
特定取引負債の純増減（△）,8169,2023
貸出金の純増（△）減,-460345,2023
預金の純増減（△）,636989,2023
譲渡性預金の純増減（△）,-57210,2023
借用金（劣後特約付借入金を除く）の純増減（△）,-129924,2023
預け金（日銀預け金を除く）の純増（△）減,-2316,2023
コールローン等の純増（△）減,-187226,2023
債券貸借取引支払保証金の純増（△）減,-5446,2023
コールマネー等の純増減（△）,132297,2023
債券貸借取引受入担保金の純増減（△）,74526,2023
外国為替（資産）の純増（△）減,595,2023
外国為替（負債）の純増減（△）,148,2023
信託勘定借の純増減（△）,4556,2023
資金運用による収入,159453,2023
資金調達による支出,-29796,2023
その他,-87922,2023
小計,1662,2023
法人税等の支払額,-22046,2023
営業活動によるキャッシュ・フロー,-20384,2023
有価証券の取得による支出,-1219533,2023
有価証券の売却による収入,936016,2023
有価証券の償還による収入,205547,2023
金銭の信託の増加による支出,-3000,2023
金銭の信託の減少による収入,3600,2023
有形固定資産の取得による支出,-6531,2023
有形固定資産の売却による収入,93,2023
無形固定資産の取得による支出,-4685,2023
投資活動によるキャッシュ・フロー,-88492,2023
配当金の支払額,-19084,2023
自己株式の取得による支出,-10005,2023
自己株式の売却による収入,0,2023
財務活動によるキャッシュ・フロー,-29090,2023
現金及び現金同等物に係る換算差額,71,2023
現金及び現金同等物の増減額（△は減少）,-137895,2023
現金及び現金同等物の期首残高,4183054,2023
現金及び現金同等物の期末残高,4045159,2023
企業名,The Chiba Bank,2023
現金預け金,4201429,2022
コールローン及び買入手形,152070,2022
買現先勘定,14999,2022
買入金銭債権,21404,2022
特定取引資産,138757,2022
金銭の信託,9879,2022
有価証券,2482224,2022
貸出金,11646721,2022
外国為替,5970,2022
その他資産,279891,2022
有形固定資産,125937,2022
建物,54793,2022
土地,62496,2022
建設仮勘定,2129,2022
その他の有形固定資産,6518,2022
無形固定資産,14450,2022
ソフトウエア,10726,2022
その他の無形固定資産,3724,2022
退職給付に係る資産,16576,2022
繰延税金資産,3924,2022
支払承諾見返,25771,2022
