年度,D,DU,rD,Net_income,Net_asset,CFO,CFI,FCF,price,N,beta,Pay_ratio,NP
2015,1300129,749,5.760966796371745e-4,1637,79675,-19939,10642,-9297,2210,9671400,0.6017,0.3001,21373794000
2016,1279422,735,5.744781627953873e-4,3004,81827,13927,-10613,3314,2460,9671400,0.6017,0.1672,23791644000
2017,1294563,635,4.905130148165829e-4,3180,80835,-5855,25415,19560,2630,9671400,0.6017,0.1551,25435782000
2018,1330375,531,3.9913558207272385e-4,3579,82486,26,-11718,-11692,2520,9671400,0.6017,0.1346,24371928000
2019,1343047,498,3.7079863921366863e-4,2609,81511,44927,-3486,41441,1781,9671400,0.6017,0.1872,17224763400
2020,1372768,430,3.1323573976083357e-4,1165,73141,-647,-12460,-13107,1672,9671400,0.6017,0.42,16170580800
2021,1541560,314,2.0368976880562548e-4,1596,79679,143439,-1667,141772,1339,9671400,0.6017,0.3054,12950004600
2022,1543145,236,1.5293442936341044e-4,2074,77446,-4192,10626,6434,1360,9671400,0.6017,0.2326,13153104000
2023,1463476,175,1.195783190158226e-4,1315,73601,-139400,6615,-132785,1254,9671400,0.6017,0.3744,12127935600
2024,1470081,148,1.006747247260525e-4,1740,78165,1598,-19399,-17801,1282,9671400,0.6017,0.2814,12398734800
