年度,D,DU,D_cost,N,P,NP,rE,WACC,FCF,PV_FCF
2015,372873,622,0.001668128290329415,8416000,1395,11740.32,0.0512,0.0024,9873,5358.82
2016,393212,670,0.0017039154451034047,8416000,1426,12001.22,0.0512,0.0023,10303,5148.58
2017,392077,624,0.001591524113885793,8416000,1370,11529.92,0.0512,0.0023,4465,4946.6
2018,385199,505,0.0013110106724056915,8416000,1380,11614.08,0.0512,0.0023,-18236,4752.53
2019,390882,338,8.647110892801408e-4,8416000,658,5537.73,0.0512,0.0015,-18721,4566.08
2020,420800,298,7.081749049429658e-4,8416000,661,5562.98,0.0512,0.0015,54356,4386.95
2021,505159,315,6.235660455420967e-4,8416000,619,5209.5,0.0512,0.0014,61745,4214.84
2022,502557,375,7.461840149475582e-4,8416000,543,4569.89,0.0512,0.0013,-9516,4049.49
2023,480011,379,7.895652391299367e-4,8416000,460,3871.36,0.0512,0.0012,-30550,3890.62
2024,508797,508,9.984335599463048e-4,8416000,515,4334.24,0.0512,0.0013,7253,3737.98
