年度,D,DU,D_cost,Net_Income,Equity
2015,2121536,1809,8.526840930344807e-4,5986,102518
2016,29230,40,0.0013684570646595963,4891,13860
2017,5800,247,0.04258620689655172,4891,106218
2018,2178225,1800,8.26360913128809e-4,4637,8163
2019,36537,46,0.0012589977283301859,4637,109596
2020,2212478,221,9.988799888631661e-5,3027,5612
2021,14719,1267,0.08607921733813438,3027,111465
2022,2158475,127,5.883783689873637e-5,1709,3673
2023,11104,766,0.06898414985590778,1709,112047
2024,2163781,104,4.806401387201385e-5,1738,3325
